No.,ship code,Month,Jyun,START,END,Latitude,Longitude,Dec Lat,Dec Long,Dec Long Corerct,E=1.W=2,SST oC,Jig Mach No,1case kg,5,8,13,18,23,28,33,38,45,55,65,75,85,95,105,Ashi,Fin,Nankotsu,Kizu,IQF,Tomogui,Mantle Case No,Total case No,Weight kg,Sqiid No,mean BW g,Op hrs,CPUE(squidN/hr/JNo),Raw C kg,CPUE(kg/hr/JNo),CPUE(squidN/JNo),CPUE(kg/JNo),note,,,Fishing year     冬春生まれ群,year,CPUE (Catch No/hr/Jig No),SD,n,,Raw Ckg=Catch kg/ boat,SD,n,,CPUE (catch kg/hr/Jig No),SD,n,,CPUE (catch No/Jig No),SD,n,,CPUE (Catch kg/Jig No),SD,n
55喜代丸,,,,2006/1/10 16:30,2006/1/11 6:30,37°26′N,142°05′E,37.43,142.08,142.08,1,13.5,25,12,,7,55,52,30,13,3,,,,,,,,,73,35,22,,,,160,290,3480,2860,1217,14,8.17,3932.2,11.23,114.4,157.3,,,,,,,,,,,,,,,,,,,,,,,,
35喜久丸,,,,2006/1/10 16:30,2006/1/11 6:30,37°25′N,142°11′E,37.42,142.18,142.18,1,13,25,12.2,,,20,38,27,19,6,,,,,,,,,55,20,16,,,,110,201,2452,2295,1068,14,6.56,2770.8,8.21,91.8,110.8,,,,,,,,,,,,,,,,,,,,,,,,
2吉丸,,,,2006/1/10 16:50,2006/1/11 6:50,37°27′N,142°16′E,37.45,142.27,142.27,1,12.5,24,12.5,,,20,81,87,51,,31,,,,,,,,131,68,37,,,,270,506,6325,6325,1000,14,18.82,7146.9,22.06,263.5,297.8,,,,,,,,,,,,,,,,,,,,,,,,
71源栄丸,,,,2006/1/10 17:00,2006/1/11 5:00,37°07′N,141°54′E,37.12,141.9,141.9,1,12.7,24,12,,,89,135,61,12,4,,,,,,,,,136,67,10,,,,301,514,6168,5458,1130,12,18.95,6969.5,24.2,227.4,290.4,,,,,,,,,,,,,,,,,,,,,,,,
11源栄丸,,,,2006/1/10 17:00,2006/1/11 5:00,37°30′N,142°04′E,37.5,142.07,142.07,1,13.1,21,11.5,,8,115,106,50,25,18,,,,,,,,,164,87,17,,,,322,590,6785,5911,1148,12,23.46,7666.7,30.42,281.5,365.1,,,,,,,,,,,,,,,,,,,,,,,,
10宝幸丸,,,,2006/1/10 17:00,2006/1/11 6:00,37°58′N,142°04′E,37.97,142.07,142.07,1,12.3,24,12,,,21,52,6,4,3,,,,,,,,,,42,20,,,,86,148,1776,1558,1140,13,4.99,2006.8,6.43,64.9,83.6,,,,,,,,,,,,,,,,,,,,,,,,
65源栄丸,,,,2006/1/10 17:00,2006/1/11 5:00,37°56′N,142°25′E,37.93,142.42,142.42,1,13.4,24,11.8,,,22,39,33,6,4,,,,,,,,,49,22,17,,,,104,192,2266,2047,1107,12,7.11,2560,8.89,85.3,106.7,,,,,,,,,,,,,,,,,,,,,,,,
15千鳥丸,,,,2006/1/10 17:40,2006/1/11 5:40,38°19′N,142°38′E,38.32,142.63,142.63,1,12.2,25,11.5,,1,34,67,22,12,2,,,,,,,,,62,34,15,,,,138,249,2864,2564,1117,12,8.55,3235.6,10.49,102.6,129.4,,,,,,,,,,,,,,,,,,,,,,,,
67源栄丸,,,,2006/1/10 18:00,2006/1/11 6:00,38°17′N,142°35′E,38.28,142.58,142.58,1,12.5,20,12,,8,90,83,33,7,4,,,,,,,,,104,44,37,,,,225,410,4920,3815,1290,12,15.9,5559.3,23.16,190.8,278,,,,,,,,,,,,,,,,,,,,,,,,
30正寿丸,,,,2006/1/10 22:10,2006/1/11 6:10,37°26′N,141°56′E,37.43,141.93,141.93,1,12.4,25,12.6,,,45,51,30,7,3,,,,,,,,,,65,30,,16,,136,247,3112,2488,1251,8,12.44,3516.6,16.88,99.5,140.7,,,,,,,,,,,,,,,,,,,,,,,,
35喜久丸,,,,2006/1/11 16:30,2006/1/12 6:30,36°44′N,141°49′E,36.73,141.82,141.82,1,12.8,25,12.2,,,24,16,2,4,,,,,,,,,,22,10,7,,,,46,85,1037,758,1368,14,2.16,1171.8,3.47,30.3,46.9,,,,,,,,,,,,,,,,,,,,,,,,
55喜代丸,,,,2006/1/11 16:30,2006/1/12 6:30,37°11′N,141°55′E,37.18,141.92,141.92,1,12.8,25,12,,7,63,54,20,3,1,,,,,,,,,69,34,20,,,,148,271,3252,2424,1342,14,6.93,3674.6,10.5,97,147,,,,,,,,,,,,,,,,,,,,,,,,
10宝幸丸,,,,2006/1/11 17:00,2006/1/12 6:00,36°59′N,141°49′E,36.98,141.82,141.82,1,12.3,24,12,,,65,215,50,27,8,,,,,,,,,,176,99,,,,365,640,7680,6885,1115,13,22.07,8678,27.81,286.9,361.6,,,,,,,,,,,,,,,,,,,,,,,,
71源栄丸,,,,2006/1/11 17:00,2006/1/12 5:00,37°01′N,141°50′E,37.02,141.83,141.83,1,12.3,24,12,,,24,42,15,6,,,,,,,,,,35,19,17,,,,87,158,1896,1581,1199,12,5.49,2142.4,7.44,65.9,89.3,,,,,,,,,,,,,,,,,,,,,,,,
65源栄丸,,,,2006/1/11 17:00,2006/1/12 5:00,37°06′N,141°55′E,37.1,141.92,141.92,1,12.2,24,11.8,,,41,35,14,3,,,,,,,,,,40,19,16,,,,93,168,1982,1569,1263,12,5.45,2240,7.78,65.4,93.3,,,,,,,,,,,,,,,,,,,,,,,,
11源栄丸,,,,2006/1/11 17:00,2006/1/12 5:00,37°25′N,142°02′E,37.42,142.03,142.03,1,12.7,21,11.5,,2,28,45,16,5,,,,,,,,,,47,20,11,,,,96,174,2001,1698,1178,12,6.74,2261,8.97,80.9,107.7,,,,,,,,,,,,,,,,,,,,,,,,
15千鳥丸,,,,2006/1/11 17:40,2006/1/12 4:40,38°20′N,142°49′E,38.33,142.82,142.82,1,12.7,25,11.5,,,19,61,12,9,1,,,,,,,,,48,22,12,,,,102,184,2116,1906,1110,11,6.93,2391,8.44,76.2,95.6,,,,,,,,,,,,,,,,,,,,,,,,
